id,aqi,lan,lng,time,tz
446,59,39.929,116.417,1496311200,+08:00
447,55,39.886,116.407,1496311200,+08:00
448,57,39.929,116.339,1496311200,+08:00
449,72,39.878,116.352,1496311200,+08:00
450,59,39.982,116.397,1496311200,+08:00
451,70,39.937,116.461,1496307600,+08:00
452,68,39.987,116.287,1496311200,+08:00
453,87,40.09,116.174,1496311200,+08:00
454,43,40.002,116.207,1496311200,+08:00
455,74,39.863,116.279,1496311200,+08:00
456,87,39.824,116.146,1496311200,+08:00
457,107,39.914,116.184,1496311200,+08:00
458,124,39.742,116.136,1496311200,+08:00
459,65,39.718,116.404,1496311200,+08:00
460,65,39.795,116.506,1496311200,+08:00
461,55,39.886,116.663,1496311200,+08:00
462,46,40.127,116.655,1496311200,+08:00
463,76,40.217,116.23,1496311200,+08:00
464,57,39.937,116.106,1496311200,+08:00
465,76,40.143,117.1,1496311200,+08:00
466,63,40.328,116.628,1496311200,+08:00
467,63,40.37,116.832,1496311200,+08:00
468,89,40.453,115.972,1496311200,+08:00
469,70,40.292,116.22,1496311200,+08:00
470,65,40.365,115.988,1496311200,+08:00
471,44,40.499,116.911,1496311200,+08:00
473,102,39.712,116.783,1495630800,+08:00
474,61,39.52,116.3,1496311200,+08:00
475,68,39.58,116.0,1496311200,+08:00
476,85,39.899,116.395,1496311200,+08:00
477,72,39.876,116.394,1496311200,+08:00
478,70,39.954,116.349,1496311200,+08:00
479,91,39.856,116.368,1496311200,+08:00
480,72,39.939,116.483,1496311200,+08:00
481,163,31.234814,121.410728,1496307600,+08:00
482,162,31.2659,121.536,1496307600,+08:00
483,160,31.201014,121.483231,1496307600,+08:00
484,109,31.0935,120.978,1496307600,+08:00
485,163,31.3008,121.467,1496307600,+08:00
486,159,31.2261,121.425,1496307600,+08:00
487,157,31.1654,121.412,1496307600,+08:00
488,164,31.1907,121.703,1496307600,+08:00
489,161,31.2071,121.577,1496307600,+08:00
490,159,31.2284,121.533,1496307600,+08:00
491,161,31.230393,121.473704,1496307600,+08:00
496,109,41.7832349,123.4267266,1496307600,+08:00
497,177,36.66222222,117.0486111,1496311200,+08:00
498,107,36.63777778,117.0688889,1493294400,+08:00
499,171,36.66138889,117.0211111,1496311200,+08:00
500,165,36.61138889,116.9880556,1496311200,+08:00
501,165,36.59277778,117.0241667,1496311200,+08:00
502,169,36.663,116.945,1496311200,+08:00
504,197,36.70027778,116.9477778,1496311200,+08:00
505,163,36.68722222,116.9886111,1496311200,+08:00
506,165,36.68527778,117.0602778,1496311200,+08:00
507,165,36.68138889,117.1858333,1496304000,+08:00
508,286,36.72256667,117.1247222,1496311200,+08:00
510,159,36.54861111,116.7651667,1496311200,+08:00
511,175,36.68538889,117.1247222,1496311200,+08:00
517,91,35.970289,120.155109,1496307600,+08:00
519,82,36.240156,120.660697,1496311200,+08:00
520,65,36.090925,120.48547,1496311200,+08:00
522,102,36.154078,120.427178,1496311200,+08:00
524,57,36.308156,120.460772,1496307600,+08:00
526,176,36.66555556,117.9233333,1496311200,+08:00
527,182,36.80833333,118.0422222,1496307600,+08:00
528,151,36.83805556,118.0447222,1496311200,+08:00
529,185,36.84333333,118.0175,1496311200,+08:00
530,167,36.80305556,118.0244444,1496311200,+08:00
531,167,36.49722222,117.8477778,1496311200,+08:00
532,152,36.45972222,117.8702778,1496311200,+08:00
533,171,36.81972222,118.3091667,1496311200,+08:00
534,132,36.76555556,118.2491667,1496311200,+08:00
535,180,36.80416667,117.8511111,1496311200,+08:00
536,171,36.825,117.9205556,1496311200,+08:00
537,177,36.90472222,118.0158333,1496311200,+08:00
538,163,34.85138889,117.5638889,1496311200,+08:00
539,199,34.82,117.5897222,1496311200,+08:00
540,174,34.79111111,117.2666667,1496311200,+08:00
541,185,34.77388889,117.5708333,1496311200,+08:00
542,193,34.58055556,117.7352778,1496311200,+08:00
543,159,35.07083333,117.4516667,1496311200,+08:00
544,177,34.81027778,117.3147222,1496311200,+08:00
545,171,34.8225,117.3575,1496271600,+08:00
546,72,37.43138889,118.6672222,1496311200,+08:00
548,93,37.43805556,118.625,1496311200,+08:00
549,81,37.44166667,118.5044444,1496311200,+08:00
550,82,37.44444444,118.5527778,1496311200,+08:00
551,76,37.46583333,118.5022222,1496307600,+08:00
552,85,37.47222222,118.6408333,1496307600,+08:00
553,127,37.88305556,118.5163889,1496311200,+08:00
554,72,37.43444444,118.6961111,1496311200,+08:00
555,61,37.54311096,121.371706,1496311200,+08:00
557,65,37.52368316,121.3553673,1496307600,+08:00
558,76,37.47141415,121.2550926,1496311200,+08:00
559,53,37.37605485,121.5817255,1496311200,+08:00
560,57,37.47743887,121.4430704,1496307600,+08:00
561,57,37.42609554,121.4031242,1496311200,+08:00
562,63,37.42276743,121.5068398,1496307600,+08:00
563,65,37.5599778,121.2529217,1496307600,+08:00
564,46,37.60240665,121.1421659,1496311200,+08:00
565,72,37.67283315,121.0662505,1496307600,+08:00
566,134,36.73055556,119.0919444,1496311200,+08:00
567,139,36.71955556,119.0481667,1496311200,+08:00
568,117,36.68194444,119.0999444,1496311200,+08:00
569,87,36.77305556,119.1938889,1496311200,+08:00
570,117,36.65722222,119.1613889,1496311200,+08:00
571,99,36.70083333,119.1625,1496311200,+08:00
572,129,36.70194444,119.14,1496307600,+08:00
573,95,36.64111111,119.1108333,1496307600,+08:00
574,93,36.77305556,119.1095667,1496311200,+08:00
575,155,35.40888889,116.6186111,1496311200,+08:00
576,157,35.42505556,116.6936111,1496307600,+08:00
577,139,35.36477778,116.6038889,1496311200,+08:00
578,119,35.39088889,116.5476111,1496307600,+08:00
579,467,35.39088889,116.6576111,1496311200,+08:00
580,157,35.44277778,116.5963889,1496311200,+08:00
581,155,35.43677778,116.6376111,1496311200,+08:00
582,153,36.19416667,117.1536111,1496311200,+08:00
583,160,36.17583333,117.1180556,1496311200,+08:00
584,158,36.19416667,117.0980556,1496311200,+08:00
585,152,36.20472222,117.1841667,1496311200,+08:00
586,159,36.17,117.1591667,1496311200,+08:00
587,137,36.20194444,117.0411111,1496311200,+08:00
588,161,36.11638889,117.1013889,1496311200,+08:00
589,65,37.51292649,122.0620045,1496311200,+08:00
590,59,37.32453537,122.1558142,1496311200,+08:00
591,70,37.51363425,122.1412574,1496311200,+08:00
592,68,37.48458826,122.0444208,1496311200,+08:00
593,63,37.53392123,122.0512579,1496307600,+08:00
594,87,37.42694682,122.1257714,1496264400,+08:00
595,147,35.40777778,119.5205556,1496311200,+08:00
597,109,35.38888889,119.4908333,1496311200,+08:00
598,139,35.4625,119.5688889,1496311200,+08:00
599,144,35.44222222,119.5327778,1496311200,+08:00
600,157,35.29361111,119.34,1496311200,+08:00
601,127,35.37361111,119.5086111,1496311200,+08:00
602,165,36.205,117.695,1496311200,+08:00
604,180,36.26611111,117.6469444,1496307600,+08:00
605,170,36.245,117.7330556,1496311200,+08:00
606,168,36.20805556,117.725,1496311200,+08:00
607,173,36.06694444,117.8661111,1496311200,+08:00
608,192,35.06222222,118.2938889,1496311200,+08:00
609,206,35.05722222,118.3416667,1496311200,+08:00
610,203,35.11527778,118.2877778,1496311200,+08:00
611,212,35.10527778,118.3477778,1496311200,+08:00
612,177,34.98166667,118.2763889,1496311200,+08:00
613,227,34.99944444,118.2516667,1496311200,+08:00
